Class,Star,Review
1,1,"Over $7.00 for a small container of mediocre chicken noodle soup! Their website claims they have the best chicken noodle soup, but I beg to differ. We threw half of it out. I did carryout before the crowds came in. I won't make that mistake of going there again."
1,1,"Went to this restaurant before heading back home. Got seated right away and told the waitress that we were in a bit of a time crunch so we could make our bus. She said the food would take 25 minutes so we agreed it would be alright. 

Ordered shortly after and waited about 45 minutes. Checked in about 35 minutes in with another waiter on the status of our meal and he replied with ""Uhhhh I actually don't know. Let me get your waiter."" He didn't get our waiter, no one followed up with us, so we decided to leave.

As we walked out the door, we noticed our waitress saw us and ran over to the hostess. The hostess then started yelling at us that we needed to pay and wouldn't let my brother leave the building. She rudely asked him ""What do you think you're doing?"" and he told her we never got out food. She then said ""Well why didn't you say that before?""

Well guess what, we couldn't say anything to you or your staff because 1. Our waitress never came back to our table and 2. You right off the bat accused us of dining and dashing. 

Great end to our trip. Oh wait, IT WAS TERRIBLE."
1,1,"So today I went to Annie's parlour and I honestly wanted 5 guys but,I decided to try something different and I was disappointed! I got a cheese burger and a side of fries and my friend got a mushroom burger. The service was really bad and the server was rude. We asked for a refill and she seemed so annoyed like how dare you ask for a refill type of attitude. The burgers tasted bland and heavy literally no flavor and the fries were okay! We ate everything because we were hungry and we forgot to tip the waitress and thankfully we did because of the bad service! Only time I would go back is to try the shakes.... IF I EVER go back"
1,1,"I liked the atmosphere here, but that is it seriously. Bad service, bad food. Their burger was so overcooked and dry. not even fresh at all. But gotta say they have decent malts and large portion. Three and a half star is too much for this place. Very disappointed! I wouldn't recommend this place to anyone."
1,1,"Stopped in for late lunch before a show at the varsity. If I had to describe the experience in one word it would be ""awkward."" The staff seemed preoccupied and uninterested and the food was pretty bland and sloppy. The atmosphere was cold and quietI ordered the Riverside which was basically supposed to be an open faced burger with gravy, mushrooms, sautéed onions and fries. The portion was so large that it overflowed the plate. Burger, onions, and mushrooms were undercooked, the bread was mush, and the fries were over seasoned. The gravy was fortunately bland enough to mask the fry seasoning. I'd compare the meal to a 1970's TV dinner. The others guests burgers looked good, but my meal was far from that."
1,1,"Came here for malts at 10. Man, they were terrible. The malt I asked for had none of the gusto! No Oreos, no coffee, basically vanilla malt. Full of warm foam.

My previous experience here was disappointing in the malt department as well."
1,1,"A. Dirty!  B. You can do the greasy food served by uncaring staff thing well, but I'm not quite sure they pull it off. C.  Seemingly unfriendly, largely bored, incompetent staff who seem inconvenienced whenever asked for anything. 
There are better choices in the area for a ""Dinkytown"" experience.
But, if you're a starving college student, enjoy! It's a little better than dorm food."
1,1,"I actually went to this palce expecting that the food would be passe, because they are known for their Malts and I didnt think tht they would put much effort in the food. I was right.
As long as this place doesn't try to pass itself off as a place were you will get good food and good service then it wil be ok, but if it tries to be anything other than aplace were drunk colledge kids go or people who just want to get a bite to eat before partying then it is not a good resteraunt. So in Short the food was terrible but the Malts were good."
1,1,"The place looks run down, in general, quality seems ignored. The only reason to come here is for nostalgia. Order food at your risk. The fries had no potato flavor, only grease- old grease. The California burger was bland. The small tomatoe tasted like card board. The ketchup is a substandard knock-off with an overly sugary taste My friend's malt seemed satisfactory though nothing special. I take the ""Kemps"" tub in the cleaning area as an idication that they use plain jane ice cream available in supermarkets everywhere. Our waitress was meek and kind, I spared her from my dim views."
1,2,"First time at Annie's. we will not be returning. Seated quickly, and malts came fast, then we waited 45 minutes for a couple burgers and corn dogs. Waitress was annoyed by our complaint that Hour wait for food was excessive and one burger was not what we ordered. Hostess was nice. Waitress never returned to our table once we complained. Food was NOT GOOD either. We try to support local businesses, but we should've gone to Applebee's."
1,2,"Came here with friends after a dance practice and was extremely hungry. Was sat before a group of 10 people, received my order AFTER said group. Received my burger after an HOUR of waiting, cheese was cold and fries were stale. Turns out our server mistakenly put their tickets in before ours. Horrible. The only reason why I didn't leave sooner was because my friends were there with me. After reading other reviews, it's not uncommon that others find the staff incompetent and rude. Awful service. Overpriced food. Not worth it. The next time I want burgers and malt I'll take my business to Snuffy's in St. Paul."
